sample_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,population
IND0000,-13.928034,-4.990688,-8.676788,-12.929549,-1.0086306,2.5252686,-10.664381,12.510752,0.5781631,-3.4052672,POP_A
IND0001,-12.319239,-0.29590857,-2.7374089,9.864191,7.4002905,31.329899,1.7097709,4.15626,6.624101,6.5753117,POP_A
IND0002,-13.248748,-2.7384737,5.79637,2.7045949,1.7667704,-8.582638,-0.60287523,-0.06535754,-0.27484137,4.3319883,POP_A
IND0003,-14.520536,-8.541164,-6.923954,-9.500135,-1.3206027,5.1233764,14.096311,-6.8839602,0.3946475,-0.36026877,POP_A
IND0004,-15.3874035,-6.9229274,-4.061372,-8.946936,-6.324104,0.9111639,-21.290716,1.1678026,-5.6967583,2.4060938,POP_A
IND0005,-15.621488,10.428011,3.832126,-1.6928178,0.059364323,-5.158008,4.3339844,4.3557396,4.759314,5.5047708,POP_A
IND0006,-15.150936,-8.941625,-0.9761396,1.1890839,-1.980432,-3.4064062,-2.914213,3.9827533,4.84797,9.954046,POP_A
IND0007,-14.451419,-1.7535613,-4.5828376,-2.159762,-4.535759,-4.8487873,-11.664987,-3.889792,-7.889138,8.6240635,POP_A
IND0008,-13.150855,-0.98538285,-0.7118963,-4.3616543,0.32544294,-2.0990803,3.8939643,0.10144053,-0.9226115,4.3763957,POP_A
IND0009,-14.954151,-6.339531,-4.4960785,-7.565684,-3.4586222,-2.6993828,1.3145765,-2.33832,1.05192,-1.3847167,POP_A
IND0010,-17.244566,2.089695,0.6860264,-3.6358654,-0.17782164,-11.255105,-3.6014462,14.228212,4.944416,6.938394,POP_A
IND0011,-15.972337,23.108036,4.301505,1.65422,5.204433,3.9163282,-1.5781282,-3.3580086,1.6373864,-2.82959,POP_A
IND0012,-14.164755,-2.067083,-1.5968615,1.059212,1.4652791,-0.4726487,-7.0884047,-0.13919935,-4.142249,5.2676744,POP_A
IND0013,-13.484755,-4.2227564,-0.75683075,9.630922,6.4746737,34.231705,-2.6780703,2.4572558,4.646913,4.655521,POP_A
IND0014,-15.068694,23.546722,-0.14494494,5.828657,7.436663,27.903444,3.7356806,5.7861485,3.1112785,-10.654642,POP_A
IND0015,-14.811052,-5.2996335,-10.157833,-9.3774,-11.529183,-2.4321623,-8.808053,-5.370719,-11.82983,-8.935216,POP_A
IND0016,-14.833975,-15.823457,21.100788,34.282806,3.3766954,-11.180078,-6.7161427,5.144092,7.535516,-11.479018,POP_A
IND0017,-15.60852,6.2706714,2.7390351,-3.0657191,2.4269536,-10.427828,-1.7941929,-11.594349,-5.1384325,5.877317,POP_A
IND0018,-13.169715,6.3598785,-10.725298,-8.026201,-3.0599105,-3.5157876,-1.6263435,10.509851,-2.7561169,1.6299832,POP_A
IND0019,-13.733212,-4.0279117,3.323586,1.9670457,-1.466391,-0.021186542,-3.9569933,-1.8225765,-2.3909025,7.2823057,POP_A
IND0020,-14.620444,-8.604052,1.7392249,0.36748078,-0.07174895,-0.26665717,-7.954188,-0.04662627,-2.0292852,3.7311192,POP_A
IND0021,-16.876337,-2.7862422,-7.055523,-8.2173195,-2.2292588,-1.1691184,9.30804,-0.80024534,-6.353005,-5.3273425,POP_A
IND0022,-2.8067482,-6.788096,-0.5205067,-4.7398973,13.827715,11.038295,-2.20796,8.980686,-3.1465926,-7.4436135,POP_A
IND0023,-15.401111,5.343266,1.8245625,3.646481,2.533489,-0.3356194,-2.9899473,1.5192226,1.613646,1.72259,POP_A
IND0024,-15.01455,-9.378342,-1.4515468,-0.68707824,-1.1010863,2.128957,12.407458,-3.7691774,1.2334782,-6.4383783,POP_A
IND0025,-11.620927,-1.870252,1.845578,0.7139002,1.6569575,4.7154408,-3.6503217,-6.6963224,-3.9999645,6.6703005,POP_A
IND0026,-12.448157,1.4841657,3.1268256,5.822011,0.15655997,-2.1857183,-3.2661445,-2.7731273,1.6598814,3.2153814,POP_A
IND0027,-15.211654,0.7952904,3.5749302,1.09352,-0.1742354,-6.002167,-3.8658078,2.2369916,-1.6846356,3.1216033,POP_A
IND0028,-14.473992,-3.2761192,6.835845,9.04475,-1.4817784,-10.273268,-8.595421,-0.96938807,-2.3575513,-2.99602,POP_A
IND0029,-15.201087,-8.675668,-6.30743,-11.452732,-2.8998308,12.361022,16.526327,-2.493774,1.4288706,-11.990285,POP_A
IND0030,-14.620553,-10.625254,9.600425,14.311966,0.9180874,-1.9317842,-8.519583,8.898668,3.1051612,3.5853207,POP_A
IND0031,-12.408336,-6.5097947,0.10993685,-4.634294,-1.2745659,9.3043165,3.0719194,-7.0871096,-0.03874509,-7.792824,POP_A
IND0032,-12.915894,-6.826656,2.220197,5.1612124,3.2615097,-1.4102541,2.0295053,4.517808,3.4767199,-14.695168,POP_A
IND0033,-15.2011385,0.3488784,0.51397467,-5.059835,-3.8062522,-8.004714,-6.265041,-3.5303676,-5.092503,11.561688,POP_A
IND0034,-14.183881,-13.352201,10.110505,19.035267,0.81490946,-4.5902715,-2.029728,9.064737,2.972032,3.5342085,POP_A
IND0035,-12.302462,2.0613656,-3.0886486,-12.314585,-4.8036156,-5.9249754,-7.203872,-0.77211034,-2.2588305,5.7087026,POP_A
IND0036,-15.474291,-0.16929562,-1.3317219,-3.0580418,1.6366423,4.1197524,-1.8699542,4.448494,1.8720933,-1.9444389,POP_A
IND0037,-15.252685,10.273017,-0.6676449,-0.95177597,-1.4283452,0.69337076,3.9833367,-2.966557,0.04737486,-7.6058736,POP_A
IND0038,-14.80355,-3.9262564,-3.0674753,3.077165,0.61984456,2.0165908,0.20025072,0.9274223,1.7341592,5.7009797,POP_A
IND0039,-13.109625,5.5395837,2.6933885,-2.572598,-1.3858542,-0.64641607,-4.563138,-1.882014,-1.5040538,-1.4750308,POP_A
IND0040,-14.740003,-8.402163,-8.392062,-6.5274963,-3.2504694,5.0573177,-13.465746,1.4055723,0.41447836,0.9433268,POP_A
IND0041,-14.331035,-3.7939944,5.0498123,10.899826,-1.0484433,-7.968578,-0.11727407,-2.2069337,-2.7768476,-5.6963468,POP_A
IND0042,-15.569849,2.599855,-6.453532,-10.554844,-1.2059162,1.7641661,-5.275315,8.874375,-2.0242178,-2.8584888,POP_A
IND0043,-15.581318,5.377893,-2.2160065,0.7380165,-3.6169686,-2.24767,1.362188,3.5699193,-5.889262,-8.825249,POP_A
IND0044,-12.661319,-5.2997255,2.887876,-5.577121,-1.8508006,-2.9371893,15.743286,-17.545147,-4.7776275,11.674233,POP_A
IND0045,-13.505259,-3.205795,5.777271,-0.37960833,0.8521989,-3.5861745,3.0044436,-16.50388,-8.411718,13.146406,POP_A
IND0046,-16.945694,30.859383,7.8919396,7.3575373,6.0978994,-3.2113478,4.6341496,-14.846871,-4.680859,8.123828,POP_A
IND0047,-13.434387,-2.6686275,-1.4906611,-3.1003172,-4.8753133,-6.366413,-1.3032047,2.4238143,-1.0209922,-1.922013,POP_A
IND0048,-15.6671505,1.7937613,-3.5555346,1.4632878,1.6875645,-1.7109553,-2.6658947,-1.3337557,-8.114024,5.607544,POP_A
IND0049,-14.436199,-1.9407506,-0.9904485,-5.4905586,-4.534927,-8.573256,-5.351726,0.92616075,-2.4373205,2.0608714,POP_A
IND0050,-15.531902,-2.340119,4.1015787,8.469673,0.74237317,-4.880945,1.0007727,-7.9189625,-2.9179564,-8.242266,POP_A
IND0051,-15.888231,1.1614237,2.9580429,1.4961662,-0.3308939,-3.4063432,12.744313,2.1217139,0.6550437,-10.632262,POP_A
IND0052,-16.604362,-1.9761913,-8.7445,-10.241458,-3.2740672,10.778782,-5.671947,4.1235647,-1.7507076,-11.339212,POP_A
IND0053,-11.902662,-12.935545,10.770526,26.064266,2.61108,-6.352543,0.3334317,1.0639441,5.958001,-17.332493,POP_A
IND0054,-14.865372,2.948937,2.6033175,0.6899281,-0.82379025,-5.47912,0.43319798,-4.4610987,-2.9378626,-2.396433,POP_A
IND0055,-14.873757,13.033974,-4.6139784,-1.5120573,-1.1804955,-0.8266998,-2.4081933,3.818784,0.8566146,-2.7826047,POP_A
IND0056,-15.549169,-5.502862,-6.3029675,-5.4582443,-0.65115345,-2.0988824,3.9292662,-2.0736537,-3.577132,-3.4492035,POP_A
IND0057,-14.39691,0.4021458,3.9541078,1.269597,2.983039,-2.8796225,-1.4679996,-7.539901,-0.72897106,5.993122,POP_A
IND0058,-16.2506,7.6933117,0.08948934,-7.5519032,1.6752127,-8.689733,1.6322727,5.2353954,2.2354736,2.4194577,POP_A
IND0059,-13.334018,-2.0675457,5.22267,-6.2821093,-3.4651718,-3.9813695,-11.057972,-2.2761002,-3.633788,7.6774883,POP_A
IND0060,-17.916159,-7.199686,8.732637,13.428685,3.6420438,-10.764542,-2.894169,-8.684139,-2.9952495,9.252223,POP_A
IND0061,-13.666013,-4.315687,-5.626485,-4.6800165,-2.259065,-3.3689094,-2.4107592,-3.0958169,-5.1234713,-0.729099,POP_A
IND0062,-16.77744,-6.2621207,2.4562478,1.6858907,-4.910495,-12.073779,-9.01347,2.2160535,-0.3861637,-2.764373,POP_A
IND0063,-12.398645,3.2688937,-6.355171,-11.932194,-8.384473,-6.99644,-11.249865,-3.5135555,-6.6787415,1.9370159,POP_A
IND0064,-17.074694,-0.36412886,3.3681884,3.5652888,-0.04798688,-12.236677,-0.68208843,-8.873711,-4.5568295,9.642735,POP_A
IND0065,-14.182527,3.290891,-0.04160213,4.982225,-2.723681,-5.229903,-0.008082011,1.6429249,-1.3759427,-7.917455,POP_A
IND0066,-14.823017,2.2845967,3.9639719,2.2683887,1.5181066,-5.343123,0.531002,-7.038495,0.7665424,3.4893517,POP_A
IND0067,-14.166223,-8.283371,1.1142697,-1.460409,-2.0695863,-0.40551162,-1.0839777,0.12609485,4.716524,3.2623184,POP_A
IND0068,-16.330513,5.8917074,5.965202,13.313365,2.260394,1.1291246,-0.77435124,2.7391996,6.8668957,-9.932708,POP_A
IND0069,-15.28291,-4.0167804,1.859439,-0.43650687,-0.5370761,-9.497966,0.64938444,-5.546797,-3.7288673,4.1986637,POP_A
IND0070,-11.539621,2.7255025,-2.7132056,-5.408301,-1.7097776,-5.7004356,0.93739456,-0.4633583,-4.30679,5.2695436,POP_A
IND0071,-16.103552,-12.517773,-4.7744675,-13.291357,-0.9640785,9.380851,16.168383,-6.7172246,1.3768363,-0.37170887,POP_A
IND0072,-15.107546,-2.3532043,-4.2038484,-5.6208973,-5.8717566,-9.53368,-1.1041136,4.1611395,-0.33689368,3.5961804,POP_A
IND0073,-15.222799,-5.2459545,17.354435,32.16881,3.4771872,-6.074561,-1.5443053,1.7886729,8.797,-18.194004,POP_A
IND0074,-16.399143,-18.698744,-3.4889112,-10.036474,-2.0184245,8.798411,19.5687,-8.914404,3.8048797,-0.6682799,POP_A
IND0075,-15.182725,13.897887,-3.0086546,-7.6415267,-1.656719,-8.054441,-7.932776,0.7266535,-4.7214637,-1.2163417,POP_A
IND0076,-13.041948,1.1079807,0.9147232,-4.4892483,-0.6954594,-8.962923,-1.283325,10.066377,-0.60405743,-5.3212934,POP_A
IND0077,-15.195368,0.7635194,0.872237,-5.143995,0.7197917,2.4572432,7.524087,-8.970713,-4.1090503,0.24083911,POP_A
IND0078,-18.028233,16.390194,3.4062252,-0.18179652,3.198181,1.0877919,4.041693,-3.2858133,-2.969504,-1.4934429,POP_A
IND0079,-15.667721,21.754158,-12.626516,-9.081468,-2.487273,-3.5995474,2.207821,16.215302,2.4709706,-1.9885403,POP_A
IND0080,-16.228031,-4.3940425,-2.738894,2.1053684,1.4910392,5.8021836,-2.3510103,10.193162,3.5027382,-11.243933,POP_A
IND0081,-14.431199,-4.969314,2.1912866,3.4215214,1.3599944,5.5393925,-4.3343844,3.7100976,0.93103254,4.9726706,POP_A
IND0082,-15.197911,-6.0153255,0.12387009,-0.077915415,-0.2167507,-0.3646239,1.3496095,2.334512,3.3858042,1.0877057,POP_A
IND0083,-15.180884,42.485004,8.264093,6.8479123,4.7922583,3.6226144,7.6273665,-8.173661,1.2115405,-3.1279378,POP_A
IND0084,-15.872886,-0.46509644,-3.0839844,-7.134197,-1.9732906,-8.455783,7.471014,3.5391126,0.24255168,0.6127835,POP_A
IND0085,-17.09932,-12.995259,-5.562894,-10.569449,-2.3395667,5.6534176,17.350166,-4.1438336,4.760247,-7.022809,POP_A
IND0086,-16.199333,-8.054792,-1.7573231,-6.2017794,0.12559906,6.729969,11.398179,-0.32249734,3.1576457,-2.4319973,POP_A
IND0087,-17.651537,-2.8673193,3.4240844,7.274458,4.0117493,-12.597308,-4.326953,-9.187759,-4.3181324,8.053819,POP_A
IND0088,-13.538749,6.390054,-0.69674283,-6.2824097,-1.1881793,-1.4038032,-3.8818114,-1.0831323,-2.372204,1.5200423,POP_A
IND0089,-14.695755,8.633197,-0.06558443,-0.15812835,-0.24431999,-4.1056395,-0.5613229,2.5042083,-3.5066035,-5.24205,POP_A
IND0090,-13.024691,3.8965673,0.020695873,-5.895353,-0.1992344,-2.1807427,0.62554103,-4.679002,-3.4456112,3.091727,POP_A
IND0091,-13.926052,10.658233,-2.192944,-2.6118808,2.3480947,1.5245994,7.604716,6.260418,5.685415,-7.835303,POP_A
IND0092,-14.601363,-3.91799,-4.056518,-5.6694636,-1.9271456,3.3925793,6.8158875,-2.837426,-2.2844617,-6.5755844,POP_A
IND0093,-15.726796,-5.709799,1.5272985,16.057858,10.628647,39.13946,-4.2763786,12.762537,11.182092,11.099815,POP_A
IND0094,-12.538667,-6.899202,3.2005377,4.1332145,1.3370597,-0.7575762,-3.392802,-2.3463132,-1.3598588,3.8895235,POP_A
IND0095,-12.545177,-10.1490555,-3.350291,-1.4506437,-1.3745965,7.961755,6.695128,3.2867754,1.1703261,-3.9761658,POP_A
IND0096,-14.682883,-12.478745,-2.6399772,-4.534315,-1.5636003,3.331033,7.5091934,-2.8551795,4.2124176,4.5435658,POP_A
IND0097,-15.324934,-6.3940597,-1.7285459,-4.546704,-1.1184449,3.8365705,-4.2353435,-0.27108756,1.164442,0.12568133,POP_A
IND0098,-14.409448,-1.823235,6.279173,2.209363,0.016612248,-4.5701284,-5.7893605,-2.6019716,-4.7328253,6.0821443,POP_A
IND0099,-12.684523,4.170409,-7.0270157,-6.5863333,-0.45334828,-1.8114415,-3.8503447,9.436542,2.847203,8.728402,POP_A
IND0100,-16.840548,-2.2350452,-1.6223246,-5.8061047,-0.5108373,-1.2343793,10.067535,0.59415776,2.7293751,-8.9359,POP_A
IND0101,-16.822525,10.588853,3.0958955,-1.4962509,1.4313399,-2.4653096,18.48154,-6.185521,3.023288,5.9712486,POP_A
IND0102,-15.366178,-6.543235,8.903219,9.340679,0.57119876,-6.8442283,-1.7002082,5.7720027,2.046445,0.7672945,POP_A
IND0103,-15.397127,-0.6778684,-3.9240215,-6.7108536,-1.4470093,-0.5198229,-6.2351317,-2.93388,0.721895,4.330587,POP_A
IND0104,-13.280312,0.6506776,-5.836647,-3.7766607,-3.964088,-1.660561,-1.157052,-2.8285642,-4.2561617,-2.3037343,POP_A
IND0105,-14.330052,8.595666,7.377009,8.3983965,2.8518693,-3.8089552,0.40283355,10.300965,9.159277,6.198551,POP_A
IND0106,-15.629001,-3.7334735,-5.088959,-1.1608462,-0.49500078,5.328151,1.8554609,-5.616275,-2.2193189,3.4910297,POP_A
IND0107,-13.344164,-5.111033,-8.121129,-11.094939,-8.157197,-5.047448,-10.591764,6.71893,-8.831903,-9.56317,POP_A
IND0108,-12.988625,-0.79525155,4.4618926,0.8532772,0.17302622,-3.543537,-0.62383,-6.265669,-3.8107762,8.65597,POP_A
IND0109,-15.54028,-9.833084,13.933619,26.836723,3.8034801,-11.8742485,-0.42431548,-3.694209,2.7165546,-13.810251,POP_A
IND0110,-15.847768,-3.5247645,1.726856,6.1439285,1.4590821,-8.582986,-0.91452134,-3.5319884,-2.0039542,-1.5222703,POP_A
IND0111,-14.956207,-0.7138786,-2.6985927,-3.9310124,1.4500128,0.923893,-8.691645,9.381394,2.3943388,0.74404305,POP_A
IND0112,-12.840737,-1.3224269,2.1068118,-2.8737438,-2.1764731,3.0259242,2.0870183,-5.3811646,-1.4058003,10.109941,POP_A
IND0113,-12.638302,-6.3892574,4.6173635,2.133816,0.14930557,-7.8781886,17.256334,-8.609017,2.8151882,0.8772124,POP_A
IND0114,-6.424285,6.4770074,1.5657219,-0.40516707,13.386582,9.991551,1.0025673,3.7898312,0.5600383,-7.1075373,POP_A
IND0115,-14.415591,1.0292268,-0.7901831,-2.568264,-1.8649244,2.7297213,-11.241631,1.2820566,-1.6150043,2.864699,POP_A
IND0116,-13.764863,23.130459,1.9691937,1.8707469,6.0003285,8.7064705,5.967987,-10.612095,3.2847404,-0.8789225,POP_A
IND0117,-15.805654,12.075555,-0.8473496,-0.621762,5.8392897,18.733418,-3.9765472,1.1241002,2.2629342,-5.740857,POP_A
IND0118,-14.928831,-4.6955304,-3.9885855,-3.5381432,-2.7506588,-2.2141576,-5.1697206,2.7174444,-1.4691592,-5.538646,POP_A
IND0119,-15.523354,-0.36382163,3.157801,1.6425241,0.85161674,3.0896685,-2.0887015,-10.72171,-4.0736566,7.1637425,POP_A
IND0120,-14.483276,-7.6865993,-4.69628,-10.664882,-1.8409275,-1.4601703,11.351157,1.7558155,-0.7333974,-2.0176404,POP_A
IND0121,-12.449197,-1.178732,-3.2687094,1.8245075,-7.1727886,5.388387,-4.1307287,-9.5289345,-3.4927402,-4.613376,POP_A
IND0122,-14.538037,-7.4848914,-5.8457794,-5.5618243,-6.32569,0.2477392,-1.4781487,-1.8635477,2.8787696,-5.8056593,POP_A
IND0123,-13.815143,6.320094,-7.2108407,-5.821283,-5.457261,-0.7645903,-3.63095,3.636441,-4.7456136,-5.106893,POP_A
IND0124,-14.304311,5.0087852,-2.770568,-4.664495,0.49406856,-1.5025094,-0.23121153,-2.0467494,-6.7653065,2.9136336,POP_A
IND0125,-14.627827,-7.959212,-1.6108371,2.6514928,-0.36301255,3.3644984,-5.746808,7.6226373,3.4242427,-10.949881,POP_A
IND0126,-17.022303,-17.177294,-7.544252,-9.632535,-1.7776289,5.9353642,19.478468,-4.576554,-0.030795312,-7.616569,POP_A
IND0127,-15.870591,10.747578,1.8050737,-0.5841141,1.6969863,-13.525791,0.794726,18.422949,7.1431985,8.71088,POP_A
IND0128,-17.297565,49.200123,-0.5035794,-0.041017883,4.6993303,3.6187372,9.268022,1.2093514,2.2435815,-4.0737205,POP_A
IND0129,-17.047348,3.5347688,4.418292,-1.4372302,3.2161508,-1.5723553,8.291306,-1.6308025,-1.7821167,-0.84176093,POP_A
IND0130,-16.860947,-2.8442419,-3.872824,-9.058532,-1.2073694,3.301467,2.9167309,-6.130191,0.37739742,-7.975618,POP_A
IND0131,-16.01169,-6.751313,2.624103,11.998549,2.1209874,-1.7316277,-2.0719712,2.743669,3.6068997,10.677071,POP_A
IND0132,-14.115146,-5.9009814,7.4202724,10.354793,1.6519057,-8.941074,-2.512801,-4.3879876,1.063313,6.353735,POP_A
IND0133,-15.516802,33.29002,7.087736,7.1404867,3.3278942,3.4728692,5.355302,-7.8077006,-1.677631,-2.234504,POP_A
IND0134,-14.886148,-7.170653,-7.8560963,-4.7192993,-1.5600806,8.479617,-12.039328,3.776938,1.8556975,-2.5897186,POP_A
IND0135,-14.855173,-18.026373,-6.6438584,-14.55453,-3.570098,5.278932,26.034048,-6.13186,1.1038575,-5.1363726,POP_A
IND0136,-13.881539,-0.84947175,9.890698,8.61722,-0.17046624,-0.81914216,5.3150177,-1.917484,6.569078,9.261148,POP_A
IND0137,-16.968962,17.231049,-1.0937186,-1.6310892,1.163417,-0.35826847,8.095889,4.3807096,2.1495044,1.1508662,POP_A
IND0138,-13.259963,-4.1530533,0.85818106,7.251156,2.4456806,15.263302,2.2474437,10.069999,3.2953916,-5.2869763,POP_A
IND0139,-17.234116,-0.501837,-0.8244029,-8.907718,-1.0831354,-9.224661,6.5732512,-0.7098528,0.5047103,0.13319506,POP_A
IND0140,-13.578236,-3.0325546,-4.134026,-1.7761266,2.8192592,3.448467,-11.600913,9.6715,5.2832336,2.400068,POP_A
IND0141,-14.247481,4.764324,3.3063257,1.5125424,1.9517258,-5.583567,3.5571933,7.3472686,5.4940023,11.671,POP_A
IND0142,-13.37177,-13.969303,7.5181384,15.067071,1.5256943,0.7792011,-3.510128,10.375417,6.1523175,6.996671,POP_A
IND0143,-15.256914,-3.230705,2.1406083,6.532459,0.91403353,-2.322522,-8.651776,6.294319,0.9409881,-9.595967,POP_A
IND0144,-15.820595,-3.6399698,2.5450692,-1.2573715,0.58846015,3.1442437,1.2271641,1.5415095,-0.40195748,3.7825735,POP_A
IND0145,-14.379589,5.3103557,-1.4719278,-3.0933487,3.1361797,4.7583065,-10.551398,6.63222,4.2631383,-0.027035914,POP_A
IND0146,-14.900522,-5.1672735,-0.17978904,14.862628,5.8134828,33.874733,2.8854227,-3.891461,6.1117005,3.5063586,POP_A
IND0147,-13.429834,-3.7994697,3.9360552,12.212598,-1.2028371,9.809668,-0.60549605,-9.928007,-0.1418919,-1.189575,POP_A
IND0148,-14.667348,1.4314528,4.173909,1.4498261,0.8380487,-4.9435134,-4.932165,8.689744,5.2821054,-0.4076461,POP_A
IND0149,-14.857726,3.0793216,1.4725225,-1.7719243,0.938699,0.30371097,8.467205,-2.4450738,1.7662196,4.7900095,POP_A
IND0150,17.910332,0.3086625,-3.6609416,9.705969,-4.97873,1.9746038,4.759254,2.5639148,-3.005673,6.980337,POP_B
IND0151,13.437244,-1.9250547,-1.0712413,0.89888376,-1.3128958,3.2924335,1.9100459,0.24109344,3.70112,5.285551,POP_B
IND0152,10.449772,-0.2931964,-10.392798,1.2321877,5.0575023,0.73802894,-5.139048,-5.070636,-1.5518818,-0.075466335,POP_B
IND0153,14.195819,0.4076493,3.6891482,-4.2170887,2.6143553,-5.7148438,0.10348777,-3.7659214,-5.0541105,-0.80059564,POP_B
IND0154,14.814608,-2.4279346,-14.88398,0.28699636,12.745681,-3.6595056,-5.0709352,-18.462648,21.682257,-7.647642,POP_B
IND0155,15.9113035,3.8148582,-1.6744014,3.8218665,-6.9171786,-4.067319,5.7700424,-9.224409,6.6130943,-2.8444352,POP_B
IND0156,16.921835,1.0014057,8.441803,-1.8368485,-3.3719888,3.7331665,-1.8963927,-11.249366,5.71169,8.244025,POP_B
IND0157,15.580138,-0.5391528,3.1924834,-4.8815527,1.677732,-0.37313843,-0.0092986375,-4.187955,-1.3204539,3.4606178,POP_B
IND0158,14.821416,0.80425143,-3.0911436,7.2888494,-10.131075,2.333685,2.905552,2.6539264,-1.5158683,4.252998,POP_B
IND0159,12.968284,2.9171875,-1.6458894,-0.27547595,3.6405568,-8.851269,-0.4164716,-3.9742973,-10.930239,-6.661956,POP_B
IND0160,13.615794,-0.16890907,-5.6615148,-2.6598973,5.892353,-2.074044,-4.04594,-10.082039,6.085213,0.7645051,POP_B
IND0161,13.633301,-1.9498061,2.7181883,-1.7272567,12.945879,-0.9528443,-3.1524928,-1.8324617,-1.712813,0.44081736,POP_B
IND0162,17.588257,1.126204,2.287059,1.1727893,-2.9576337,-1.446986,3.8408306,1.1010394,-10.605469,-11.786814,POP_B
IND0163,15.8475275,-1.4716301,-3.4093401,2.5211487,-5.243103,-1.4053133,-0.054318797,-5.6390204,7.0231085,-1.4116628,POP_B
IND0164,16.687416,-5.5033083,3.4383492,-1.4771799,7.1282372,4.28912,4.062801,7.080563,-10.274156,-7.163404,POP_B
IND0165,17.332333,-5.7181935,14.993715,-8.94627,23.011467,1.1913006,-2.2824626,5.183433,-6.2150645,-11.848974,POP_B
IND0166,16.764082,1.2343206,-18.498323,-0.1241913,7.3297257,-12.536007,-4.653036,-11.028184,25.715235,-12.238109,POP_B
IND0167,15.922096,0.72900647,4.6053967,-2.3362646,0.17357947,3.3641949,0.4700781,-2.2682457,0.55261856,5.4297614,POP_B
IND0168,16.548973,2.283697,-6.655067,3.3910608,13.3409,-8.82331,11.716769,10.397715,-15.586745,0.53893673,POP_B
IND0169,17.501163,1.0601357,1.8913033,0.78225255,-5.0220146,2.4031801,6.0090466,5.655683,-7.6768646,2.142902,POP_B
IND0170,16.146263,2.6988487,-3.7587094,7.6019373,-1.8176935,-3.809793,5.016919,-1.7415818,-7.18546,-7.3321443,POP_B
IND0171,14.581762,-0.020722078,-5.168593,4.05521,-3.331267,-2.3777304,2.2705956,2.3057942,-13.25066,-7.7194557,POP_B
IND0172,12.757219,0.5097467,-5.440816,3.4407952,-0.0066679446,1.1800045,-3.8440156,-3.6612806,-7.0564055,2.1773758,POP_B
IND0173,16.40976,1.0314035,2.3567643,0.68258965,-5.8643517,6.6818743,-1.2330421,1.609332,-0.5966639,1.6476219,POP_B
IND0174,15.518045,6.355781,-1.7607939,-0.28931558,2.8823092,-2.521509,-1.0592031,-6.813921,10.193607,-5.333812,POP_B
IND0175,15.378646,-1.5087373,13.7754135,-9.137348,4.241406,4.9011216,-6.4530416,-7.6004395,-1.0024647,7.896147,POP_B
IND0176,10.142976,0.75792354,-2.8038218,3.2695382,-10.819649,-3.4855998,0.29394734,3.520531,-2.9061494,7.089141,POP_B
IND0177,6.1469665,1.8346142,-7.829861,-4.363353,4.4242396,1.6875758,-7.4340963,7.860684,-3.816231,4.9588027,POP_B
IND0178,12.515642,0.446916,-3.7604618,2.6794515,-5.1992674,-4.2731433,3.4285772,0.3796222,8.362988,2.534233,POP_B
IND0179,15.305918,0.3833737,-3.2613559,2.2934592,-5.102879,-1.969394,1.2296399,-3.8805568,9.770311,-3.4508374,POP_B
IND0180,16.20854,1.5810239,-8.040933,4.619769,-3.1643424,5.950521,-11.888221,-1.3891321,-0.49813402,-4.832679,POP_B
IND0181,14.926673,2.5537457,0.59359974,1.1480981,-8.537458,5.2445025,-2.9681134,7.251385,1.0860937,3.1096032,POP_B
IND0182,12.913827,-2.1888216,-7.26219,-1.643313,9.112488,-9.513822,-2.4446185,2.3970802,3.7338567,-3.3190627,POP_B
IND0183,15.107722,0.06854918,19.33052,-7.39953,-2.569131,7.702486,-2.6726885,-3.6003883,2.0631428,6.945172,POP_B
IND0184,18.195705,4.7653174,16.269207,-7.63955,-17.964727,2.6748488,2.4814627,7.202116,5.76565,-10.55065,POP_B
IND0185,14.352299,-1.9052407,-9.955565,11.332464,2.4047325,5.665881,-0.81405395,-0.8920563,-14.308791,8.396168,POP_B
IND0186,16.861992,-0.6914895,23.389866,-11.193823,-7.4776363,3.504778,-1.8643649,2.3179832,0.38883227,-10.113746,POP_B
IND0187,15.28949,0.0930411,-2.2537684,2.9774315,-7.8685994,1.6788954,5.3603797,1.7125764,-6.5552583,-1.7990668,POP_B
IND0188,16.889534,-1.1660693,-1.2439181,-5.959944,12.391263,-6.9113393,15.777613,24.18776,4.8082547,14.24437,POP_B
IND0189,15.452299,-2.4430707,19.073633,-14.129206,12.026311,3.5420413,-5.067748,-5.011664,0.8098871,-0.6372641,POP_B
IND0190,14.123838,-1.9585284,2.5629425,-5.2457724,16.372768,-5.706336,-4.484545,-2.8730001,2.3051095,-4.0132847,POP_B
IND0191,16.257338,-0.40831193,22.223223,-13.426294,-4.521927,9.176493,-11.855446,-1.4879093,-2.096582,1.9425327,POP_B
IND0192,10.758633,-1.7391057,-1.047916,-2.6366096,-0.91215163,1.9448006,2.809824,4.3193626,3.2368228,-0.1290536,POP_B
