sample_id,population
IND0000,POP_A
IND0001,POP_A
IND0002,POP_A
IND0003,POP_A
IND0004,POP_A
IND0005,POP_A
IND0006,POP_A
IND0007,POP_A
IND0008,POP_A
IND0009,POP_A
IND0010,POP_A
IND0011,POP_A
IND0012,POP_A
IND0013,POP_A
IND0014,POP_A
IND0015,POP_A
IND0016,POP_A
IND0017,POP_A
IND0018,POP_A
IND0019,POP_A
IND0020,POP_A
IND0021,POP_A
IND0022,POP_A
IND0023,POP_A
IND0024,POP_A
IND0025,POP_A
IND0026,POP_A
IND0027,POP_A
IND0028,POP_A
IND0029,POP_A
IND0030,POP_A
IND0031,POP_A
IND0032,POP_A
IND0033,POP_A
IND0034,POP_A
IND0035,POP_A
IND0036,POP_A
IND0037,POP_A
IND0038,POP_A
IND0039,POP_A
IND0040,POP_A
IND0041,POP_A
IND0042,POP_A
IND0043,POP_A
IND0044,POP_A
IND0045,POP_A
IND0046,POP_A
IND0047,POP_A
IND0048,POP_A
IND0049,POP_A
IND0050,POP_A
IND0051,POP_A
IND0052,POP_A
IND0053,POP_A
IND0054,POP_A
IND0055,POP_A
IND0056,POP_A
IND0057,POP_A
IND0058,POP_A
IND0059,POP_A
IND0060,POP_A
IND0061,POP_A
IND0062,POP_A
IND0063,POP_A
IND0064,POP_A
IND0065,POP_A
IND0066,POP_A
IND0067,POP_A
IND0068,POP_A
IND0069,POP_A
IND0070,POP_A
IND0071,POP_A
IND0072,POP_A
IND0073,POP_A
IND0074,POP_A
IND0075,POP_A
IND0076,POP_A
IND0077,POP_A
IND0078,POP_A
IND0079,POP_A
IND0080,POP_A
IND0081,POP_A
IND0082,POP_A
IND0083,POP_A
IND0084,POP_A
IND0085,POP_A
IND0086,POP_A
IND0087,POP_A
IND0088,POP_A
IND0089,POP_A
IND0090,POP_A
IND0091,POP_A
IND0092,POP_A
IND0093,POP_A
IND0094,POP_A
IND0095,POP_A
IND0096,POP_A
IND0097,POP_A
IND0098,POP_A
IND0099,POP_A
IND0100,POP_A
IND0101,POP_A
IND0102,POP_A
IND0103,POP_A
IND0104,POP_A
IND0105,POP_A
IND0106,POP_A
IND0107,POP_A
IND0108,POP_A
IND0109,POP_A
IND0110,POP_A
IND0111,POP_A
IND0112,POP_A
IND0113,POP_A
IND0114,POP_A
IND0115,POP_A
IND0116,POP_A
IND0117,POP_A
IND0118,POP_A
IND0119,POP_A
IND0120,POP_A
IND0121,POP_A
IND0122,POP_A
IND0123,POP_A
IND0124,POP_A
IND0125,POP_A
IND0126,POP_A
IND0127,POP_A
IND0128,POP_A
IND0129,POP_A
IND0130,POP_A
IND0131,POP_A
IND0132,POP_A
IND0133,POP_A
IND0134,POP_A
IND0135,POP_A
IND0136,POP_A
IND0137,POP_A
IND0138,POP_A
IND0139,POP_A
IND0140,POP_A
IND0141,POP_A
IND0142,POP_A
IND0143,POP_A
IND0144,POP_A
IND0145,POP_A
IND0146,POP_A
IND0147,POP_A
IND0148,POP_A
IND0149,POP_A
IND0150,POP_B
IND0151,POP_B
IND0152,POP_B
IND0153,POP_B
IND0154,POP_B
IND0155,POP_B
IND0156,POP_B
IND0157,POP_B
IND0158,POP_B
IND0159,POP_B
IND0160,POP_B
IND0161,POP_B
IND0162,POP_B
IND0163,POP_B
IND0164,POP_B
IND0165,POP_B
IND0166,POP_B
IND0167,POP_B
IND0168,POP_B
IND0169,POP_B
IND0170,POP_B
IND0171,POP_B
IND0172,POP_B
IND0173,POP_B
IND0174,POP_B
IND0175,POP_B
IND0176,POP_B
IND0177,POP_B
IND0178,POP_B
IND0179,POP_B
IND0180,POP_B
IND0181,POP_B
IND0182,POP_B
IND0183,POP_B
IND0184,POP_B
IND0185,POP_B
IND0186,POP_B
IND0187,POP_B
IND0188,POP_B
IND0189,POP_B
IND0190,POP_B
IND0191,POP_B
IND0192,POP_B
IND0193,POP_B
IND0194,POP_B
IND0195,POP_B
IND0196,POP_B
IND0197,POP_B
IND0198,POP_B
IND0199,POP_B
IND0200,POP_B
IND0201,POP_B
IND0202,POP_B
IND0203,POP_B
IND0204,POP_B
IND0205,POP_B
IND0206,POP_B
IND0207,POP_B
IND0208,POP_B
IND0209,POP_B
IND0210,POP_B
IND0211,POP_B
IND0212,POP_B
IND0213,POP_B
IND0214,POP_B
IND0215,POP_B
IND0216,POP_B
IND0217,POP_B
IND0218,POP_B
IND0219,POP_B
IND0220,POP_B
IND0221,POP_B
IND0222,POP_B
IND0223,POP_B
IND0224,POP_B
IND0225,POP_B
IND0226,POP_B
IND0227,POP_B
IND0228,POP_B
IND0229,POP_B
IND0230,POP_B
IND0231,POP_B
IND0232,POP_B
IND0233,POP_B
IND0234,POP_B
IND0235,POP_B
IND0236,POP_B
IND0237,POP_B
IND0238,POP_B
IND0239,POP_B
IND0240,POP_B
IND0241,POP_B
IND0242,POP_B
IND0243,POP_B
IND0244,POP_B
IND0245,POP_B
IND0246,POP_B
IND0247,POP_B
IND0248,POP_B
IND0249,POP_B
IND0250,POP_B
IND0251,POP_B
IND0252,POP_B
IND0253,POP_B
IND0254,POP_B
IND0255,POP_B
IND0256,POP_B
IND0257,POP_B
IND0258,POP_B
IND0259,POP_B
IND0260,POP_B
IND0261,POP_B
IND0262,POP_B
IND0263,POP_B
IND0264,POP_B
IND0265,POP_B
IND0266,POP_B
IND0267,POP_B
IND0268,POP_B
IND0269,POP_B
IND0270,POP_B
IND0271,POP_B
IND0272,POP_B
IND0273,POP_B
IND0274,POP_B
IND0275,POP_B
IND0276,POP_B
IND0277,POP_B
IND0278,POP_B
IND0279,POP_B
IND0280,POP_B
IND0281,POP_B
IND0282,POP_B
IND0283,POP_B
IND0284,POP_B
IND0285,POP_B
IND0286,POP_B
IND0287,POP_B
IND0288,POP_B
IND0289,POP_B
IND0290,POP_B
IND0291,POP_B
IND0292,POP_B
IND0293,POP_B
IND0294,POP_B
IND0295,POP_B
IND0296,POP_B
IND0297,POP_B
IND0298,POP_B
IND0299,POP_B
